"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.618678875E0	-5.849201367E0	5.763952471E0	3.281434035E-1	8.218514635E0
2.628673875E0	-5.854724647E0	5.830531207E0	4.076602739E-1	8.272791654E0
2.638667875E0	-5.822525200E0	5.841419892E0	8.853567427E-1	8.295049284E0
2.648661875E0	-5.478801305E0	5.599580222E0	1.356573912E0	7.950651243E0
2.658656875E0	-5.262284172E0	5.189357114E0	1.822661319E0	7.612040216E0
2.668650875E0	-5.186148162E0	4.649501527E0	2.146098298E0	7.288328691E0
2.678644875E0	-5.177938671E0	4.089246174E0	2.298556845E0	6.986869594E0
2.688639875E0	-5.015679606E0	3.670656576E0	2.158953987E0	6.579653785E0
2.698633875E0	-4.713213665E0	3.341161004E0	1.687211738E0	6.018672890E0
2.708627875E0	-4.591796232E0	3.091569388E0	1.169485230E0	5.657745985E0
2.718622875E0	-4.314777082E0	2.855384268E0	6.433872646E-1	5.213872626E0
2.728616875E0	-3.889636264E0	2.606188216E0	2.091063720E-1	4.686705961E0
2.738610875E0	-3.500795839E0	2.254969215E0	1.438450134E-1	4.166671220E0
2.748605875E0	-3.041443840E0	1.745987365E0	5.119313318E-1	3.544139698E0
2.758599875E0	-2.520877632E0	1.412816817E0	9.432962179E-1	3.039849199E0
2.768594875E0	-1.860932368E0	1.235541226E0	1.086173517E0	2.483828559E0
2.778588875E0	-1.106948674E0	1.159401999E0	8.593307859E-1	1.818790192E0
2.788582875E0	-5.134548603E-1	1.033073782E0	4.214053237E-1	1.228193706E0
2.798577875E0	-3.146634884E-1	7.112822092E-1	9.053828716E-3	7.778286854E-1
2.808571875E0	-3.597060889E-1	2.844034530E-1	-8.235510886E-2	4.658928615E-1
2.818565875E0	-4.079107175E-1	-5.440571040E-2	4.252679944E-3	4.115449186E-1
2.828560875E0	-3.447156187E-1	-2.136712933E-1	-5.008315623E-2	4.086472829E-1
2.838554875E0	-2.480940711E-1	-3.504288965E-1	-2.537902093E-1	4.987590099E-1
2.848548875E0	-2.526217894E-1	-6.951396547E-1	-4.637321484E-1	8.729744633E-1
2.858543875E0	-2.599685783E-1	-1.001003120E0	-5.049351382E-1	1.150891134E0
2.868537875E0	-2.886268238E-1	-1.231600933E0	-1.230219090E-1	1.270936935E0
2.878531875E0	-2.354072211E-1	-1.495655345E0	2.831467402E-1	1.540316054E0
2.888526875E0	2.724477243E-1	-1.485985073E0	4.582918990E-1	1.578737111E0
2.898520875E0	1.090529620E0	-1.294322115E0	2.849488521E-1	1.716310123E0
2.908515875E0	4.050187358E0	-2.539102526E0	-3.374141639E-1	4.792171490E0
2.918509875E0	1.903158767E0	-2.646417645E0	1.756486040E-1	3.264412976E0
2.928503875E0	9.665340031E-1	-3.132616550E0	1.878534973E-1	3.283711827E0
